DATUMS;VALUTA;SUMMA;PARTNERA NOSAUKUMS;PARTNERA BANKA;PARTNERA BANKAS SWIFT KODS;TRANSAKCIJAS TIPS
03.01.2024;EUR;27,3;DENIM DREAM OUTLET, OL\AZENES IELA 5             \RIGA         \1048      LVALVA;SEB BANKA;UNLALV2X;PMNTCCRDOTHR-purchase in POS Dinamo payment card
03.01.2024;EUR;103,99;PIERRE CARDIN T;SEB BANKA;UNLALV2X;PMNTCCRDOTHR-purchase in POS Dinamo payment card
04.01.2024;EUR;2,23;CIRCLE K DREILINI     \GRAUBICAS, DREILINI       \STOPINU NOVAD\LV 2130   LVALVA;SEB BANKA;UNLALV2X;PMNTCCRDOTHR-purchase in POS Dinamo payment card
04.01.2024;EUR;3;SEB banka;;;ACMTMDOPFEES-M?neša maksa par Akt?v? komplekta lietošanu
04.01.2024;EUR;6;Tikai Karotes-zupu res\Azenes iela 5\Riga\LV-1048   LVALVA;SEB BANKA;UNLALV2X;PMNTCCRDOTHR-purchase in POS Dinamo payment card
04.01.2024;EUR;9;SumUp  *COFYZ com\Lacplesa iela 37 Biroja 50\Riga\LV 1011   LVALVA;SEB BANKA;UNLALV2X;PMNTCCRDOTHR-purchase in POS Dinamo payment card
04.01.2024;EUR;14,9;KFC AKROPOLE RIGA SELF\MASKAVAS IELA 275B        \RIGA         \LV-1063   LVALVA;SEB BANKA;UNLALV2X;PMNTCCRDOTHR-purchase in POS Dinamo payment card
04.01.2024;EUR;29,9;Janis Roze-Maskavas\Maskavas iela 257b\Riga\LV-1063   LVALVA;SEB BANKA;UNLALV2X;PMNTCCRDOTHR-purchase in POS Dinamo payment card
04.01.2024;EUR;49,56;"Picerija ""Cili pizza""\Maskavas iela 257\RIGA\LV-1063      LVA";SEB BANKA;UNLALV2X;PMNTCCRDOTHR-purchase in POS Dinamo payment card
05.01.2024;EUR;0,13;SEB banka;;;XTNDNTAVNTAV-Apkalpošanas maksas pazi?ojums
05.01.2024;EUR;1,2;NYA*Coffee Address\611 L BIG\Riga\1024      LVALVA;SEB BANKA;UNLALV2X;PMNTCCRDOTHR-purchase in POS Dinamo payment card
05.01.2024;EUR;1,2;NYA*Coffee Address\611 L BIG\Riga\1024      LVALVA;SEB BANKA;UNLALV2X;PMNTCCRDOTHR-purchase in POS Dinamo payment card
05.01.2024;EUR;2,23;CIRCLE K DREILINI     \GRAUBICAS, DREILINI       \STOPINU NOVAD\LV 2130   LVALVA;SEB BANKA;UNLALV2X;PMNTCCRDOTHR-purchase in POS Dinamo payment card
05.01.2024;EUR;4,2;Stesavi-Azenes 12\Azenes iela 12\Riga\LV-1082   LVALVA;SEB BANKA;UNLALV2X;PMNTCCRDOTHR-purchase in POS Dinamo payment card
05.01.2024;EUR;27,75;MAXIMA LV R700\MASKAVAS 257B\RIGA\UNKNOWN      LVA;SEB BANKA;UNLALV2X;PMNTCCRDOTHR-purchase in POS Dinamo payment card
06.01.2024;EUR;2,23;CIRCLE K DREILINI     \GRAUBICAS, DREILINI       \STOPINU NOVAD\LV 2130   LVALVA;SEB BANKA;UNLALV2X;PMNTCCRDOTHR-purchase in POS Dinamo payment card
06.01.2024;EUR;2,23;CIRCLE K SALDUS       \APVEDCELS 11              \SALDUS NOVADS\LV 3801   LVALVA;SEB BANKA;UNLALV2X;PMNTCCRDOTHR-purchase in POS Dinamo payment card
06.01.2024;EUR;4,99;Rimi HM Ostamala Liepa\K,Zales laukums 8\LIEPAJA\LV-3401      LVA;SEB BANKA;UNLALV2X;PMNTCCRDOTHR-purchase in POS Dinamo payment card
06.01.2024;EUR;9,3;KAFEJNICA DOKA PICA   \FR,BRIVZEMNIEKA IELA 36-1 \LIEPAJA      \LV-3401   LVALVA;SEB BANKA;UNLALV2X;PMNTCCRDOTHR-purchase in POS Dinamo payment card
06.01.2024;EUR;59,19;CIRCLE K SALDUS       \APVEDCELS 11              \SALDUS NOVADS\LV 3801   LVALVA;SEB BANKA;UNLALV2X;PMNTCCRDOTHR-purchase in POS Dinamo payment card
07.01.2024;EUR;54;ATPUTAS KOMPLEKSS MILZ\DIZKALNI                  \SMARDES PAG,,\LV-3148   LVALVA;SEB BANKA;UNLALV2X;PMNTCCRDOTHR-purchase in POS Dinamo payment card
08.01.2024;EUR;4,8;MCDONALDS 9059213 Jura\Karla Ulmana gatve 88\Riga\LV1046    RIXLVA;SEB BANKA;UNLALV2X;PMNTCCRDOTHR-purchase in POS Dinamo payment card
08.01.2024;EUR;7,9;Orange Stuff\Juras iela 73\Engure\LV-3113   099LVA;SEB BANKA;UNLALV2X;PMNTCCRDOTHR-purchase in POS Dinamo payment card
08.01.2024;EUR;28,4;Orange Stuff\Juras iela 73\Engure\LV-3113   099LVA;SEB BANKA;UNLALV2X;PMNTCCRDOTHR-purchase in POS Dinamo payment card
08.01.2024;EUR;73,61;Rimi SHM Pasta (Tukums\PASTA IELA 14\TUKUMS\UNKNOWN      LVA;SEB BANKA;UNLALV2X;PMNTCCRDOTHR-purchase in POS Dinamo payment card
09.01.2024;EUR;0,13;SEB banka;;;XTNDNTAVNTAV-Apkalpošanas maksas pazi?ojums
09.01.2024;EUR;4,65;CIRCLE K PURVCIEMS    \GUNARA ASTRAS IELA 17     \RIGA         \LV 1082   LVALVA;SEB BANKA;UNLALV2X;PMNTCCRDOTHR-purchase in POS Dinamo payment card
09.01.2024;EUR;4,76;Stesavi-Azenes 12\Azenes iela 12\Riga\LV-1082   LVALVA;SEB BANKA;UNLALV2X;PMNTCCRDOTHR-purchase in POS Dinamo payment card
09.01.2024;EUR;52,54;RIMI CHM OZOLS (RIGA)\MAZA RENCENU IELA 1\RIGA\LV-1073      LVA;SEB BANKA;UNLALV2X;PMNTCCRDOTHR-purchase in POS Dinamo payment card
